feature,importance
sqft,0.8034445106835411
city_Los Angeles,0.036240088624527295
distance_to_center,0.03198789761632441
city_Chicago,0.02484896167251391
city_Other,0.022622878480725053
neighborhood_score,0.018096031037465866
property_type_single_family,0.01492614144172391
city_Houston,0.012391643996821255
city_New York,0.011215728292785311
crime_score,0.004342112918477501
property_type_condo,0.003994344004680815
walkability_score,0.003461627368822561
property_type_apartment,0.0031402021858096857
age,0.0026425441527817496
school_rating,0.0023866044622438466
bathrooms,0.0019981685088188467
lot_size,0.001125775657638453
property_type_multi_family,0.000453048944392535
bedrooms,0.00038172698936975684
garage_spaces,0.000299962960536213
